Date,Price,Open,High,Low,Vol.,Change %
01/03/2000,26.25,26.88,26.94,26.0,102.90K,-1.65%
01/04/2000,25.0,25.56,25.69,25.0,84.40K,-4.76%
01/05/2000,25.62,25.38,25.62,24.94,158.70K,2.48%
01/06/2000,25.62,25.19,25.69,25.12,135.10K,0.00%
01/07/2000,27.0,26.0,27.0,26.0,182.10K,5.39%
01/10/2000,26.94,26.94,27.0,26.62,186.80K,-0.22%
01/11/2000,26.88,26.56,27.25,26.44,117.60K,-0.22%
01/12/2000,26.81,26.69,26.81,26.38,38.10K,-0.26%
01/13/2000,27.12,27.19,27.19,26.62,242.40K,1.16%
01/14/2000,27.69,27.44,27.69,27.25,220.60K,2.10%
01/18/2000,27.25,27.31,27.38,27.06,88.20K,-1.59%
01/19/2000,26.94,26.75,27.0,26.56,41.90K,-1.14%
01/20/2000,27.38,26.94,27.38,26.81,250.10K,1.63%
01/21/2000,26.56,26.81,26.94,26.0,49.20K,-2.99%
01/24/2000,26.06,26.62,26.69,26.0,64.30K,-1.88%
01/25/2000,25.94,25.94,26.06,25.69,58.60K,-0.46%
01/26/2000,26.12,25.94,26.12,25.88,30.10K,0.69%
01/27/2000,26.44,26.25,26.62,26.12,62.60K,1.23%
01/28/2000,25.38,26.31,26.31,25.38,171.60K,-4.01%
01/31/2000,25.19,25.19,25.25,24.94,45.70K,-0.75%
02/01/2000,25.5,25.44,25.62,25.31,164.00K,1.23%
02/02/2000,26.31,26.0,26.31,25.88,128.30K,3.18%
02/03/2000,27.44,27.06,27.44,27.0,52.90K,4.29%
02/04/2000,27.69,27.5,27.69,27.0,59.00K,0.91%
02/07/2000,27.0,27.25,27.5,26.81,33.00K,-2.49%
02/08/2000,27.94,27.69,27.94,27.44,274.30K,3.48%
02/09/2000,28.62,29.12,29.12,28.5,180.10K,2.43%
02/10/2000,28.38,28.69,28.69,28.31,60.00K,-0.84%
02/11/2000,27.88,28.56,28.56,27.88,57.20K,-1.76%
02/14/2000,28.38,28.5,28.5,28.06,46.60K,1.79%
02/15/2000,27.62,28.19,28.31,27.44,88.00K,-2.68%
02/16/2000,28.06,27.56,28.12,27.38,102.80K,1.59%
02/17/2000,28.44,28.56,28.56,28.12,38.00K,1.35%
02/18/2000,27.75,28.25,28.44,27.75,61.70K,-2.43%
02/22/2000,29.06,29.06,29.12,28.75,178.80K,4.72%
02/23/2000,29.25,29.12,29.38,29.0,166.60K,0.65%
02/24/2000,28.56,28.94,29.0,28.12,115.80K,-2.36%
02/25/2000,28.25,28.25,28.38,28.06,44.30K,-1.09%
02/28/2000,27.62,27.38,27.88,27.12,42.10K,-2.23%
02/29/2000,27.88,27.69,28.0,27.62,102.80K,0.94%
03/01/2000,28.12,27.56,28.12,27.56,27.80K,0.86%
03/02/2000,28.69,28.19,28.75,27.94,38.60K,2.03%
03/03/2000,29.06,28.94,29.31,28.88,43.10K,1.29%
03/06/2000,28.56,28.94,28.94,28.56,30.50K,-1.72%
03/07/2000,28.38,29.25,29.25,28.38,77.80K,-0.63%
03/08/2000,28.88,28.62,28.88,28.31,34.40K,1.76%
03/09/2000,28.81,28.25,28.81,28.06,131.10K,-0.24%
03/10/2000,28.25,28.44,28.5,28.25,24.80K,-1.94%
03/13/2000,27.5,27.19,27.75,27.12,231.00K,-2.65%
