"Date","Price","Open","High","Low","Vol.","Change %"
"01/03/2000","64.75","66.00","66.25","64.50","122.63K","-0.77%"
"01/04/2000","63.00","63.50","63.75","62.50","298.00K","-2.70%"
"01/05/2000","61.25","60.75","62.00","60.50","207.70K","-2.78%"
"01/06/2000","58.75","59.25","59.25","58.50","262.88K","-4.08%"
"01/07/2000","60.00","59.25","60.00","59.25","122.65K","2.13%"
"01/10/2000","61.00","60.75","61.00","60.50","205.30K","1.67%"
"01/11/2000","60.50","61.00","61.25","60.25","131.95K","-0.82%"
"01/12/2000","60.00","60.75","60.75","60.00","122.03K","-0.83%"
"01/13/2000","61.00","60.75","61.25","60.75","98.03K","1.67%"
"01/14/2000","61.50","61.25","61.50","61.00","130.40K","0.82%"
"01/18/2000","61.00","62.50","62.50","60.75","158.45K","-0.81%"
"01/19/2000","60.50","60.50","60.75","59.75","382.08K","-0.82%"
"01/20/2000","60.00","60.25","60.50","59.50","98.35K","-0.83%"
"01/21/2000","59.75","60.50","60.75","59.75","165.85K","-0.42%"
"01/24/2000","59.50","60.75","61.00","59.00","154.58K","-0.42%"
"01/25/2000","60.25","60.25","60.25","59.25","92.68K","1.26%"
"01/26/2000","61.00","60.75","61.25","60.50","79.83K","1.24%"
"01/27/2000","60.50","61.75","62.25","60.50","105.10K","-0.82%"
"01/28/2000","60.00","62.25","62.25","59.75","77.50K","-0.83%"
"01/31/2000","61.50","61.00","61.50","60.75","111.50K","2.50%"
"02/01/2000","61.50","61.25","61.50","60.75","180.45K","0.00%"
"02/02/2000","62.00","62.00","62.00","61.25","93.65K","0.81%"
"02/03/2000","63.00","62.25","63.00","62.00","179.00K","1.61%"
"02/04/2000","64.00","63.75","64.25","63.50","122.58K","1.59%"
"02/07/2000","63.00","63.50","63.50","62.75","84.85K","-1.56%"
"02/08/2000","62.00","62.50","62.75","61.75","95.40K","-1.59%"
"02/09/2000","62.00","62.25","62.50","61.75","129.15K","0.00%"
"02/10/2000","62.00","62.50","62.75","61.75","77.68K","0.00%"
"02/11/2000","61.50","61.75","62.25","61.25","112.53K","-0.81%"
"02/14/2000","62.50","62.00","62.50","60.50","90.73K","1.63%"
"02/15/2000","60.50","61.00","61.00","60.00","118.88K","-3.20%"
"02/16/2000","60.25","60.50","60.75","60.00","144.88K","-0.41%"
