Date,Price,Open,High,Low,Vol.,Change %
01/03/2000,27.88,28.0,28.0,27.44,74.80K,0.94%
01/04/2000,26.19,26.75,26.81,26.19,52.20K,-6.06%
01/05/2000,26.0,25.94,26.12,25.62,156.00K,-0.73%
01/06/2000,25.88,25.62,26.0,25.62,73.40K,-0.46%
01/07/2000,26.38,26.0,26.5,26.0,106.10K,1.93%
01/10/2000,26.75,26.88,26.94,26.56,22.90K,1.40%
01/11/2000,26.62,26.44,26.69,26.31,56.30K,-0.49%
01/12/2000,26.38,26.62,26.62,26.06,15.40K,-0.90%
01/13/2000,26.56,26.44,26.69,26.31,10.20K,0.68%
01/14/2000,27.12,27.0,27.12,26.88,96.80K,2.11%
01/18/2000,26.47,26.5,26.56,26.19,30.60K,-2.40%
01/19/2000,26.38,26.0,26.38,25.94,22.10K,-0.34%
01/20/2000,26.62,26.62,26.62,26.19,18.10K,0.91%
01/21/2000,26.12,26.5,26.5,26.0,16.00K,-1.88%
01/24/2000,25.81,26.38,26.5,25.81,29.30K,-1.19%
01/25/2000,25.94,25.88,26.0,25.62,28.80K,0.50%
01/26/2000,26.25,26.19,26.44,26.12,12.80K,1.20%
01/27/2000,26.38,26.25,26.56,26.25,32.80K,0.50%
01/28/2000,25.0,25.81,25.88,25.0,56.30K,-5.23%
01/31/2000,25.31,25.38,25.69,24.94,37.40K,1.24%
02/01/2000,25.88,25.88,26.0,25.62,113.00K,2.25%
02/02/2000,26.75,26.38,26.75,26.31,45.40K,3.36%
02/03/2000,28.19,27.38,28.19,27.0,32.40K,5.38%
02/04/2000,28.5,28.44,28.5,28.19,20.50K,1.10%
02/07/2000,28.0,28.5,28.56,27.75,79.10K,-1.75%
02/08/2000,28.88,29.12,29.12,28.81,18.00K,3.14%
02/09/2000,28.81,28.81,29.06,28.56,95.20K,-0.24%
02/10/2000,28.31,28.44,28.44,28.06,29.40K,-1.74%
02/11/2000,28.44,28.25,28.62,27.88,210.80K,0.46%
02/14/2000,28.5,28.56,28.56,28.12,32.70K,0.21%
02/15/2000,27.81,28.0,28.0,27.75,33.40K,-2.42%
