Date,Price,Open,High,Low,Vol.,Change %
11/19/2004,44.78,44.49,44.92,44.47,11.66M,0.90%
11/22/2004,44.95,44.75,44.97,44.74,12.00M,0.38%
11/23/2004,44.75,44.88,44.92,44.72,3.17M,-0.44%
11/24/2004,45.05,44.93,45.05,44.79,6.11M,0.67%
11/26/2004,45.29,45.25,45.6,45.06,3.10M,0.53%
11/29/2004,45.4,45.1,45.5,45.08,3.76M,0.24%
11/30/2004,45.12,45.37,45.41,44.82,3.86M,-0.62%
12/01/2004,45.38,45.28,45.59,45.26,2.04M,0.58%
12/02/2004,44.95,45.55,45.57,44.68,6.46M,-0.95%
12/03/2004,45.6,45.04,46.0,44.8,4.22M,1.45%
12/06/2004,45.17,45.39,45.47,45.11,3.10M,-0.94%
12/07/2004,45.11,45.3,45.32,45.07,3.80M,-0.13%
12/08/2004,44.01,43.8,44.02,43.36,6.15M,-2.44%
12/09/2004,43.78,43.75,43.9,43.2,3.55M,-0.52%
12/10/2004,43.44,43.37,43.6,43.31,2.46M,-0.78%
12/13/2004,43.91,43.61,44.01,43.51,1.45M,1.08%
12/14/2004,43.55,43.76,43.8,43.51,2.24M,-0.82%
12/15/2004,43.99,44.1,44.17,43.92,2.64M,1.01%
12/16/2004,43.68,43.99,44.05,43.58,3.27M,-0.70%
12/17/2004,44.19,43.93,44.22,43.78,1.89M,1.17%
12/20/2004,44.34,44.33,44.37,44.13,1.94M,0.34%
12/21/2004,44.22,44.13,44.24,44.05,1.37M,-0.27%
12/22/2004,44.02,44.2,44.23,43.89,2.71M,-0.45%
12/23/2004,44.27,44.17,44.35,44.05,639.80K,0.57%
12/27/2004,44.48,44.29,44.56,44.27,2.64M,0.47%
12/28/2004,44.37,44.42,44.47,44.29,773.20K,-0.25%
12/29/2004,43.66,43.92,44.02,43.35,5.63M,-1.60%
12/30/2004,43.83,43.5,43.88,43.49,1.29M,0.39%
12/31/2004,43.8,43.85,43.94,43.73,531.60K,-0.07%
01/03/2005,43.02,42.98,43.17,42.74,4.75M,-1.78%
01/04/2005,42.74,42.8,42.91,42.46,3.46M,-0.65%
01/05/2005,42.67,42.75,42.88,42.6,2.03M,-0.16%
01/06/2005,42.15,42.48,42.56,42.07,2.56M,-1.22%
01/07/2005,41.84,42.09,42.39,41.7,4.49M,-0.74%
01/10/2005,41.95,41.99,42.07,41.89,1.03M,0.26%
01/11/2005,42.21,42.21,42.28,42.12,1.51M,0.62%
01/12/2005,42.6,42.52,42.79,42.48,1.74M,0.92%
01/13/2005,42.6,42.39,42.6,42.34,718.30K,0.00%
01/14/2005,42.32,42.19,42.32,42.13,1.26M,-0.66%
01/18/2005,42.32,42.22,42.38,42.15,666.80K,0.00%
01/19/2005,42.26,42.65,42.65,42.2,1.58M,-0.14%
