Date,Price,Open,High,Low,Vol.,Change %
01/26/2000,0.131,0.131,0.131,0.131,4.36K,10.08%
01/29/2000,0.126,0.131,0.131,0.126,1.10M,-3.82%
01/30/2000,0.131,0.131,0.131,0.131,10.90K,3.97%
01/31/2000,0.128,0.128,0.128,0.128,10.90K,-2.29%
02/01/2000,0.128,0.128,0.128,0.128,10.90K,0.00%
03/07/2000,0.128,0.128,0.128,0.128,32.70K,0.00%
03/08/2000,0.128,0.128,0.128,0.128,65.40K,0.00%
04/02/2000,0.128,0.128,0.128,0.128,21.80K,0.00%
04/23/2000,0.119,0.119,0.119,0.119,10.90K,-7.03%
05/09/2000,0.119,0.119,0.119,0.119,1.09M,0.00%
06/12/2000,0.119,0.119,0.119,0.119,13.63K,0.00%
07/11/2000,0.11,0.11,0.11,0.11,21.80K,-7.56%
07/12/2000,0.11,0.11,0.11,0.11,2.18K,0.00%
07/20/2000,0.11,0.11,0.11,0.11,405.50K,0.00%
07/30/2000,0.11,0.11,0.11,0.11,1.50K,0.00%
10/09/2000,0.11,0.11,0.11,0.11,10.90K,0.00%
10/10/2000,0.11,0.11,0.11,0.11,61.04K,0.00%
10/11/2000,0.11,0.11,0.11,0.11,67.58K,0.00%
10/16/2000,0.11,0.11,0.11,0.11,43.60K,0.00%
11/19/2000,0.112,0.112,0.112,0.112,10.90K,1.82%
11/23/2000,0.112,0.112,0.112,0.112,43.60K,0.00%
12/20/2000,0.115,0.115,0.115,0.115,43.60K,2.68%
01/04/2001,0.115,0.115,0.115,0.115,43.60K,0.00%
01/07/2001,0.115,0.115,0.115,0.115,43.60K,0.00%
02/19/2001,0.115,0.115,0.115,0.115,261.61K,0.00%
03/22/2001,0.115,0.115,0.115,0.115,0.07K,0.00%
04/26/2001,0.115,0.115,0.115,0.115,3.61M,0.00%
04/29/2001,0.106,0.115,0.115,0.106,893.84K,-7.83%
06/12/2001,0.106,0.106,0.106,0.106,470.90K,0.00%
08/16/2001,0.116,0.116,0.116,0.116,10.90K,9.43%
08/20/2001,0.116,0.116,0.116,0.116,65.40K,0.00%
08/29/2001,0.116,0.116,0.116,0.116,147.75K,0.00%
09/09/2001,0.116,0.116,0.116,0.116,10.90K,0.00%
03/19/2002,0.116,0.116,0.116,0.116,436.02K,0.00%
03/28/2002,0.116,0.116,0.116,0.116,436.02K,0.00%
05/30/2002,0.116,0.116,0.116,0.116,436.02K,0.00%
08/28/2002,0.116,0.116,0.116,0.116,196.21K,0.00%
11/11/2002,0.115,0.115,0.115,0.115,218.01K,-0.86%
11/13/2002,0.115,0.115,0.115,0.115,218.01K,0.00%
11/27/2002,0.114,0.114,0.114,0.114,501.42K,-0.87%
03/31/2003,0.114,0.114,0.114,0.114,31.87K,0.00%
01/05/2004,0.103,0.103,0.103,0.103,10.90K,-9.65%
01/11/2004,0.093,0.093,0.093,0.093,10.90K,-9.71%
02/24/2004,0.084,0.084,0.084,0.084,10.90K,-9.68%
03/10/2004,0.076,0.076,0.076,0.076,10.90K,-9.52%
03/15/2004,0.068,0.068,0.068,0.068,10.90K,-10.53%
03/17/2004,0.064,0.062,0.064,0.062,3.71M,-5.88%
03/18/2004,0.069,0.065,0.069,0.065,616.94K,7.81%
03/21/2004,0.074,0.071,0.075,0.071,1.75M,7.25%
03/22/2004,0.075,0.073,0.078,0.073,1.02M,1.35%
03/23/2004,0.072,0.074,0.074,0.072,320.47K,-4.00%
03/24/2004,0.073,0.073,0.073,0.073,21.80K,1.39%
03/25/2004,0.073,0.073,0.073,0.073,817.53K,0.00%
03/30/2004,0.073,0.073,0.073,0.073,41.42K,0.00%
03/31/2004,0.073,0.073,0.074,0.073,1.19M,0.00%
04/01/2004,0.073,0.073,0.073,0.073,1.87M,0.00%
04/13/2004,0.072,0.072,0.072,0.072,109.01K,-1.37%
04/15/2004,0.072,0.072,0.072,0.072,21.80K,0.00%
04/18/2004,0.073,0.072,0.073,0.072,436.02K,1.39%
04/20/2004,0.076,0.073,0.076,0.073,697.63K,4.11%
04/21/2004,0.076,0.076,0.077,0.076,195.53K,0.00%
04/25/2004,0.082,0.077,0.083,0.077,429.48K,7.89%
04/26/2004,0.08,0.082,0.082,0.08,47.96K,-2.44%
04/27/2004,0.078,0.079,0.079,0.078,17.44K,-2.50%
04/28/2004,0.078,0.076,0.078,0.076,226.73K,0.00%
04/29/2004,0.076,0.078,0.078,0.076,32.70K,-2.56%
05/02/2004,0.074,0.076,0.076,0.073,143.89K,-2.63%
05/04/2004,0.071,0.073,0.073,0.071,32.70K,-4.05%
05/06/2004,0.071,0.071,0.071,0.071,21.80K,0.00%
05/11/2004,0.072,0.072,0.072,0.072,76.30K,1.41%
05/12/2004,0.072,0.072,0.072,0.072,109.01K,0.00%
05/23/2004,0.074,0.073,0.074,0.073,13.08K,2.78%
05/25/2004,0.073,0.073,0.073,0.073,390.24K,-1.35%
06/02/2004,0.074,0.074,0.074,0.074,65.40K,1.37%
06/10/2004,0.073,0.073,0.073,0.073,65.40K,-1.35%
06/17/2004,0.08,0.078,0.08,0.078,821.89K,9.59%
06/20/2004,0.08,0.079,0.08,0.079,19.62K,0.00%
06/21/2004,0.083,0.08,0.083,0.08,124.27K,3.75%
06/22/2004,0.086,0.085,0.086,0.085,270.33K,3.61%
06/27/2004,0.083,0.083,0.083,0.083,159.15K,-3.49%
06/30/2004,0.085,0.085,0.085,0.085,10.90K,2.41%
07/05/2004,0.085,0.085,0.085,0.085,21.80K,0.00%
07/08/2004,0.082,0.082,0.082,0.082,10.90K,-3.53%
07/14/2004,0.082,0.082,0.082,0.082,65.40K,0.00%
07/18/2004,0.083,0.082,0.083,0.082,43.60K,1.22%
07/20/2004,0.082,0.082,0.082,0.082,10.90K,-1.20%
08/02/2004,0.078,0.078,0.078,0.078,4.36K,-4.88%
08/08/2004,0.077,0.077,0.077,0.077,4.36K,-1.28%
08/10/2004,0.08,0.08,0.08,0.08,21.80K,3.90%
08/11/2004,0.083,0.083,0.083,0.083,65.40K,3.75%
08/15/2004,0.078,0.078,0.078,0.078,21.80K,-6.02%
08/22/2004,0.078,0.078,0.078,0.078,8.72K,0.00%
08/23/2004,0.08,0.079,0.08,0.079,497.06K,2.56%
08/29/2004,0.08,0.08,0.08,0.08,32.70K,0.00%
08/31/2004,0.08,0.08,0.08,0.08,2.18K,0.00%
09/01/2004,0.083,0.083,0.083,0.083,10.90K,3.75%
09/02/2004,0.083,0.083,0.083,0.083,21.80K,0.00%
09/05/2004,0.083,0.083,0.083,0.083,13.08K,0.00%
09/14/2004,0.083,0.083,0.083,0.083,13.08K,0.00%
09/22/2004,0.08,0.08,0.08,0.08,21.80K,-3.61%
10/06/2004,0.073,0.073,0.073,0.073,10.90K,-8.75%
10/14/2004,0.071,0.071,0.071,0.071,16.57K,-2.74%
12/02/2004,0.071,0.071,0.071,0.071,10.90K,0.00%
12/05/2004,0.071,0.071,0.071,0.071,54.50K,0.00%
12/06/2004,0.071,0.071,0.071,0.071,109.01K,0.00%
12/08/2004,0.071,0.071,0.071,0.071,479.62K,0.00%
