Date,Price,Open,High,Low,Vol.,Change %
05/01/2006,13.87,13.92,14.18,13.75,14.84M,0.43%
05/02/2006,14.37,14.24,14.4,14.1,12.51M,3.60%
05/03/2006,13.93,14.45,14.46,13.41,15.14M,-3.06%
05/04/2006,14.0,13.95,14.29,13.68,11.08M,0.50%
05/05/2006,13.99,14.0,14.03,13.75,6.59M,-0.07%
05/08/2006,14.0,13.8,14.0,13.51,9.45M,0.07%
05/09/2006,14.5,14.1,14.62,14.06,11.05M,3.57%
05/10/2006,14.53,14.29,14.57,14.25,13.91M,0.21%
05/11/2006,14.86,15.08,15.25,14.8,12.53M,2.27%
05/12/2006,14.46,14.89,14.9,14.22,10.13M,-2.69%
05/15/2006,13.27,13.39,13.78,13.2,12.58M,-8.23%
05/16/2006,13.58,13.51,13.68,13.28,7.20M,2.34%
05/17/2006,13.09,13.55,13.75,12.92,7.82M,-3.61%
05/18/2006,12.6,13.22,13.37,12.6,8.02M,-3.74%
05/19/2006,12.6,12.29,12.68,12.17,8.46M,0.00%
05/22/2006,12.52,12.4,12.6,12.25,5.95M,-0.63%
05/23/2006,13.04,12.98,13.25,12.89,8.19M,4.15%
05/24/2006,12.54,12.7,12.89,12.42,5.35M,-3.83%
05/25/2006,12.69,12.55,12.79,12.44,5.00M,1.20%
05/26/2006,12.67,12.77,12.78,12.49,3.48M,-0.16%
05/30/2006,13.1,13.2,13.36,13.03,6.20M,3.39%
05/31/2006,12.63,13.06,13.13,12.37,6.34M,-3.59%
06/01/2006,12.04,11.82,12.26,11.81,8.01M,-4.67%
06/02/2006,12.18,12.19,12.31,12.0,3.81M,1.16%
06/05/2006,12.09,12.28,12.38,12.08,4.32M,-0.74%
06/06/2006,11.84,11.87,11.95,11.68,6.76M,-2.07%
06/07/2006,11.87,11.6,12.04,11.53,6.71M,0.25%
06/08/2006,11.23,11.69,11.7,11.13,6.75M,-5.39%
06/09/2006,11.19,11.5,11.55,11.1,4.20M,-0.36%
06/12/2006,10.93,11.26,11.32,10.92,5.38M,-2.32%
06/13/2006,9.62,10.37,10.45,9.56,20.73M,-11.99%
06/14/2006,9.67,9.88,9.99,9.55,9.62M,0.52%
06/15/2006,10.26,10.14,10.35,10.03,8.80M,6.10%
06/16/2006,10.29,10.17,10.34,9.86,4.10M,0.29%
06/19/2006,9.95,10.0,10.09,9.91,3.70M,-3.30%
06/20/2006,10.29,10.06,10.35,9.97,2.98M,3.42%
06/21/2006,10.5,10.26,10.63,10.25,3.91M,2.04%
06/22/2006,10.26,10.4,10.49,10.24,2.43M,-2.29%
06/23/2006,10.35,10.21,10.47,10.19,5.33M,0.88%
06/26/2006,10.32,10.42,10.45,10.13,2.01M,-0.29%
06/27/2006,10.21,10.5,10.69,10.21,5.22M,-1.07%
06/28/2006,10.24,10.38,10.39,10.19,2.82M,0.29%
06/29/2006,10.78,10.41,10.8,10.41,6.41M,5.27%
06/30/2006,11.14,11.01,11.15,10.93,7.54M,3.34%
07/03/2006,11.38,11.32,11.47,11.27,2.10M,2.15%
07/05/2006,11.47,11.5,11.53,11.25,3.62M,0.79%
07/06/2006,11.6,11.42,11.68,11.32,3.92M,1.13%
07/07/2006,11.32,11.5,11.51,11.3,3.44M,-2.41%
07/10/2006,11.08,11.16,11.26,11.05,2.75M,-2.12%
07/11/2006,11.57,11.31,11.62,11.29,2.91M,4.42%
07/12/2006,11.59,11.73,11.83,11.38,5.70M,0.17%
07/13/2006,11.65,11.66,11.66,11.36,4.52M,0.52%
07/14/2006,11.5,11.65,11.71,11.47,2.87M,-1.29%
07/17/2006,10.9,11.26,11.3,10.86,6.46M,-5.22%
07/18/2006,10.6,11.07,11.08,10.47,4.72M,-2.75%
07/19/2006,11.14,10.68,11.17,10.66,2.37M,5.09%
07/20/2006,10.9,11.0,11.29,10.89,2.43M,-2.15%
07/21/2006,10.84,11.24,11.24,10.72,2.63M,-0.55%
07/24/2006,10.92,10.8,10.92,10.63,3.20M,0.74%
07/25/2006,10.99,10.97,11.0,10.78,2.73M,0.64%
07/26/2006,11.11,10.94,11.18,10.87,2.06M,1.09%
07/27/2006,11.38,11.46,11.49,11.27,2.94M,2.43%
07/28/2006,11.4,11.35,11.43,11.3,1.83M,0.18%
07/31/2006,11.41,11.41,11.46,11.24,2.54M,0.09%
08/01/2006,11.76,11.41,11.77,11.4,2.75M,3.07%
08/02/2006,12.17,11.9,12.25,11.9,4.58M,3.49%
08/03/2006,12.08,12.12,12.22,11.99,2.46M,-0.74%
08/04/2006,12.38,12.48,12.58,12.29,3.72M,2.48%
08/07/2006,12.31,12.47,12.47,12.16,3.07M,-0.57%
08/08/2006,12.26,12.23,12.36,12.2,1.66M,-0.41%
08/09/2006,12.52,12.43,12.65,12.43,3.69M,2.12%
08/10/2006,12.12,12.33,12.4,12.06,3.91M,-3.19%
08/11/2006,11.92,12.27,12.37,11.78,4.09M,-1.65%
08/14/2006,12.05,11.91,12.22,11.84,3.47M,1.09%
08/15/2006,12.11,12.02,12.13,11.95,1.56M,0.50%
08/16/2006,12.32,12.33,12.43,12.25,2.33M,1.73%
08/17/2006,11.97,12.21,12.21,11.9,2.98M,-2.84%
08/18/2006,12.06,12.09,12.12,11.85,2.29M,0.75%
08/21/2006,12.41,12.37,12.44,12.32,2.42M,2.90%
08/22/2006,12.29,12.18,12.32,12.1,2.17M,-0.97%
08/23/2006,12.5,12.6,12.63,12.41,3.63M,1.71%
08/24/2006,12.36,12.57,12.6,12.29,2.89M,-1.12%
08/25/2006,12.42,12.35,12.44,12.29,1.73M,0.49%
08/28/2006,12.03,12.41,12.41,11.98,4.21M,-3.14%
08/29/2006,12.28,12.06,12.29,11.85,3.21M,2.08%
08/30/2006,12.51,12.44,12.53,12.34,2.98M,1.87%
08/31/2006,12.91,12.66,12.92,12.62,4.31M,3.20%
09/01/2006,12.96,12.82,12.98,12.68,4.30M,0.39%
09/05/2006,12.97,13.18,13.22,12.94,6.46M,0.08%
09/06/2006,12.99,13.07,13.22,12.97,3.50M,0.15%
09/07/2006,12.57,12.8,12.84,12.39,5.74M,-3.23%
09/08/2006,12.13,12.12,12.24,12.0,7.39M,-3.50%
09/11/2006,11.07,11.65,11.7,11.05,12.05M,-8.74%
09/12/2006,11.02,11.12,11.28,10.96,5.85M,-0.45%
09/13/2006,11.19,11.19,11.28,11.0,3.69M,1.54%
09/14/2006,10.7,11.22,11.25,10.66,7.09M,-4.38%
09/15/2006,10.8,10.69,10.94,10.46,6.36M,0.93%
09/18/2006,11.17,10.8,11.21,10.8,6.09M,3.43%
09/19/2006,10.79,11.11,11.19,10.73,5.78M,-3.40%
09/20/2006,10.89,11.0,11.14,10.85,3.96M,0.93%
09/21/2006,11.19,10.89,11.2,10.84,3.54M,2.75%
09/22/2006,11.15,11.36,11.37,11.06,2.71M,-0.36%
09/25/2006,11.19,11.08,11.28,11.03,2.78M,0.36%
09/26/2006,11.39,11.28,11.46,11.2,2.55M,1.79%
09/27/2006,11.62,11.58,11.65,11.45,2.68M,2.02%
09/28/2006,11.54,11.66,11.68,11.5,2.48M,-0.69%
09/29/2006,11.45,11.43,11.49,11.2,2.79M,-0.78%
10/02/2006,11.44,11.63,11.67,11.41,2.16M,-0.09%
10/03/2006,10.81,11.14,11.14,10.79,4.70M,-5.51%
10/04/2006,10.8,10.93,10.93,10.54,6.29M,-0.09%
10/05/2006,11.08,11.09,11.1,10.9,3.31M,2.59%
10/06/2006,11.1,10.96,11.14,10.78,2.11M,0.18%
10/09/2006,11.28,11.4,11.41,11.21,1.82M,1.62%
10/10/2006,11.12,11.14,11.27,11.06,1.64M,-1.42%
10/11/2006,11.17,11.28,11.42,11.15,2.09M,0.45%
10/12/2006,11.29,11.11,11.35,11.11,1.27M,1.07%
10/13/2006,11.64,11.51,11.64,11.45,2.60M,3.10%
10/16/2006,11.85,11.78,11.85,11.73,5.37M,1.80%
10/17/2006,11.69,11.9,11.9,11.56,4.62M,-1.35%
10/18/2006,11.72,11.81,11.88,11.67,2.93M,0.26%
10/19/2006,12.07,11.91,12.07,11.9,2.96M,2.99%
10/20/2006,11.88,11.98,12.05,11.8,1.95M,-1.57%
10/23/2006,11.64,11.63,11.73,11.56,2.79M,-2.02%
10/24/2006,11.79,11.39,11.82,11.22,3.78M,1.29%
10/25/2006,11.89,11.75,11.92,11.67,3.55M,0.85%
10/26/2006,12.11,12.06,12.2,12.04,4.84M,1.85%
10/27/2006,12.01,12.12,12.13,11.94,1.94M,-0.83%
10/30/2006,12.11,12.12,12.23,12.07,3.47M,0.83%
10/31/2006,12.27,12.02,12.27,12.0,3.58M,1.32%
11/01/2006,12.44,12.49,12.51,12.29,4.04M,1.39%
11/02/2006,12.52,12.5,12.6,12.49,3.49M,0.64%
11/03/2006,12.55,12.48,12.61,12.41,3.45M,0.24%
11/06/2006,12.61,12.52,12.73,12.5,3.11M,0.48%
11/07/2006,12.6,12.62,12.71,12.56,4.54M,-0.08%
11/08/2006,12.42,12.6,12.69,12.38,3.49M,-1.43%
