Date,Price,Open,High,Low,Vol.,Change %
01/03/2000,24.21,24.36,26.15,23.98,,-1.75%
01/04/2000,27.01,24.94,27.18,24.8,,11.57%
01/05/2000,26.41,27.98,29.0,25.85,,-2.22%
01/06/2000,25.73,26.68,26.71,24.7,,-2.57%
01/07/2000,21.72,25.14,25.17,21.72,,-15.58%
01/10/2000,21.71,21.89,22.49,21.36,,-0.05%
01/11/2000,22.5,21.98,22.63,21.69,,3.64%
01/12/2000,22.84,23.05,23.49,22.41,,1.51%
01/13/2000,21.71,22.73,23.1,21.32,,-4.95%
01/14/2000,19.66,19.83,20.15,19.51,,-9.44%
01/18/2000,21.5,21.39,21.63,20.97,,9.36%
01/19/2000,21.72,22.15,22.16,21.44,,1.02%
01/20/2000,21.75,21.31,22.6,21.18,,0.14%
01/21/2000,20.82,21.55,21.91,20.5,,-4.28%
01/24/2000,24.07,21.43,24.44,21.43,,15.61%
01/25/2000,23.02,23.79,24.28,22.87,,-4.36%
01/26/2000,23.03,22.91,23.19,22.45,,0.04%
01/27/2000,23.54,22.37,24.39,22.03,,2.21%
01/28/2000,26.14,23.75,26.54,23.17,,11.05%
01/31/2000,24.95,26.78,27.43,24.94,,-4.55%
02/01/2000,23.45,24.43,24.74,23.29,,-6.01%
02/02/2000,23.12,23.02,24.74,22.62,,-1.41%
02/03/2000,22.01,22.72,23.73,21.93,,-4.80%
02/04/2000,21.54,20.77,21.77,20.69,,-2.14%
02/07/2000,22.79,22.97,23.27,22.79,,5.80%
02/08/2000,21.25,21.68,22.08,21.17,,-6.76%
02/09/2000,22.9,21.54,22.9,21.29,,7.76%
02/10/2000,23.07,23.36,23.55,22.75,,0.74%
02/11/2000,24.42,22.94,24.8,22.82,,5.85%
02/14/2000,24.38,24.67,24.89,24.27,,-0.16%
02/15/2000,22.92,24.08,24.75,22.84,,-5.99%
02/16/2000,23.51,23.2,23.83,22.74,,2.57%
02/17/2000,23.17,22.9,23.48,22.63,,-1.45%
02/18/2000,26.0,23.37,26.37,23.37,,12.21%
02/22/2000,25.86,25.91,28.12,25.47,,-0.54%
02/23/2000,23.89,25.2,25.37,23.56,,-7.62%
02/24/2000,24.38,24.18,25.94,24.15,,2.05%
02/25/2000,25.2,24.13,25.37,23.58,,3.36%
02/28/2000,24.68,25.9,26.19,24.09,,-2.06%
02/29/2000,23.37,23.76,23.88,23.24,,-5.31%
03/01/2000,21.64,22.65,22.72,21.41,,-7.40%
03/02/2000,21.06,21.62,22.1,20.93,,-2.68%
03/03/2000,19.21,19.98,20.04,19.19,,-8.78%
03/06/2000,21.5,20.38,21.74,20.33,,11.92%
03/07/2000,24.31,22.24,24.49,22.24,,13.07%
03/08/2000,23.82,24.57,25.2,23.48,,-2.02%
03/09/2000,22.21,24.18,24.18,22.2,,-6.76%
03/10/2000,21.24,20.89,21.69,20.84,,-4.37%
03/13/2000,22.85,23.03,23.26,21.99,,7.58%
03/14/2000,24.41,22.75,24.41,22.33,,6.83%
03/15/2000,22.34,24.66,24.76,21.98,,-8.48%
03/16/2000,20.77,21.65,21.92,20.49,,-7.03%
03/17/2000,22.37,21.26,22.56,21.07,,7.70%
03/20/2000,22.96,22.31,23.26,22.28,,2.64%
03/21/2000,21.7,23.45,23.45,21.27,,-5.49%
03/22/2000,21.49,21.91,22.02,21.22,,-0.97%
03/23/2000,22.26,21.82,22.42,21.1,,3.58%
03/24/2000,23.31,22.45,23.96,22.12,,4.72%
03/27/2000,24.53,24.35,24.8,24.1,,5.23%
03/28/2000,24.86,24.99,25.2,24.47,,1.35%
03/29/2000,24.1,24.37,25.02,23.79,,-3.06%
03/30/2000,25.47,23.95,25.87,23.79,,5.68%
03/31/2000,24.11,24.78,24.97,23.44,,-5.34%
04/03/2000,24.03,24.99,25.86,24.03,,-0.33%
04/04/2000,27.12,23.5,31.16,23.25,,12.86%
04/05/2000,28.41,28.56,30.01,27.77,,4.76%
04/06/2000,27.15,27.71,27.83,27.05,,-4.44%
04/07/2000,24.39,25.64,25.64,23.58,,-10.17%
04/10/2000,25.99,25.44,26.04,24.97,,6.56%
04/11/2000,27.25,27.67,28.08,26.64,,4.85%
04/12/2000,28.98,27.19,28.98,27.04,,6.35%
04/13/2000,29.4,28.46,29.4,27.78,,1.45%
04/14/2000,33.49,30.09,33.79,30.09,,13.91%
04/17/2000,28.95,33.7,34.31,28.47,,-13.56%
04/18/2000,26.12,27.93,28.13,26.12,,-9.78%
04/19/2000,27.02,26.54,27.23,26.27,,3.45%
04/20/2000,25.85,26.54,27.21,25.77,,-4.33%
04/24/2000,27.37,27.79,28.5,27.25,,5.88%
04/25/2000,25.24,26.26,26.45,25.2,,-7.78%
04/26/2000,26.97,25.39,27.24,25.27,,6.85%
04/27/2000,26.19,29.43,29.5,25.95,,-2.89%
04/28/2000,26.2,25.62,26.8,25.61,,0.04%
05/01/2000,25.88,26.07,26.44,25.26,,-1.22%
05/02/2000,28.5,26.81,28.5,26.5,,10.12%
05/03/2000,31.63,30.0,32.89,30.0,,10.98%
05/04/2000,30.77,31.45,32.06,30.56,,-2.72%
05/05/2000,27.53,29.49,29.54,27.44,,-10.53%
05/08/2000,28.2,28.8,29.05,28.2,,2.43%
05/09/2000,28.93,28.25,29.68,28.16,,2.59%
05/10/2000,29.87,29.68,30.6,28.9,,3.25%
05/11/2000,27.76,29.07,29.12,27.76,,-7.06%
05/12/2000,26.05,26.33,26.33,25.61,,-6.16%
05/15/2000,24.86,26.47,26.7,24.8,,-4.57%
05/16/2000,24.34,24.46,25.15,24.09,,-2.09%
05/17/2000,23.98,24.62,25.11,23.74,,-1.48%
05/18/2000,23.96,23.42,24.03,23.29,,-0.08%
05/19/2000,25.44,24.85,26.15,24.85,,6.18%
05/22/2000,26.0,26.25,27.9,25.98,,2.20%
